,Date,Score,Grade,Gender,School,Format
0,2017-03-03,286,12, Boys, Spencer High School, B 
1,2017-02-18,277,12, Boys, Spencer High School, B 
2,2017-02-11,277,12, Boys, Spencer High School, B 
3,2017-02-05,278,12, Boys, Spencer High School, B 
4,2017-01-28,283,12, Boys, Spencer High School, B 
5,2017-01-21,270,12, Boys, Spencer High School, B 
6,2017-01-14,281,12, Boys, Spencer High School, B 
7,2016-05-12,282,11, Boys, Spencer High School, B 
8,2016-03-04,284,11, Boys, Spencer High School, B 
9,2016-02-13,288,11, Boys, Spencer High School, B 
10,2016-02-06,286,11, Boys, Spencer High School, B 
11,2016-01-30,271,11, Boys, Spencer High School, B 
12,2016-01-23,285,11, Boys, Spencer High School, B 
13,2015-05-07,285,10, Boys, Spencer High School, B 
14,2015-03-07,277,10, Boys, Spencer High School, B 
15,2015-02-14,255,10, Boys, Spencer High School, B 
16,2015-02-07,265,10, Boys, Spencer High School, B 
17,2014-05-08,259,9, Boys, Spencer High School, B 
18,2014-03-01,276,9, Boys, Spencer High School, B 
19,2014-02-08,280,9, Boys, Spencer High School, B 
20,2013-06-28,241,8, Boys, Spencer High School, B 
