,Date,Score,Grade,Gender,School,Format
0,2017-03-03,286,12, Boys, Spencer High School, B 
1,2017-02-18,285,12, Boys, Spencer High School, B 
2,2017-02-11,287,12, Boys, Spencer High School, B 
3,2017-02-05,291,12, Boys, Spencer High School, B 
4,2017-01-28,289,12, Boys, Spencer High School, B 
5,2016-03-04,286,11, Boys, Spencer High School, B 
6,2016-02-20,285,11, Boys, Spencer High School, B 
7,2016-02-13,282,11, Boys, Spencer High School, B 
8,2016-02-06,287,11, Boys, Spencer High School, B 
9,2016-01-30,284,11, Boys, Spencer High School, B 
10,2016-01-16,276,11, Boys, Spencer High School, B 
11,2015-05-07,286,10, Boys, Spencer High School, B 
12,2015-03-07,284,10, Boys, Spencer High School, B 
13,2015-02-21,287,10, Boys, Spencer High School, B 
14,2015-02-14,283,10, Boys, Spencer High School, B 
15,2015-01-31,287,10, Boys, Spencer High School, B 
16,2014-05-08,281,9, Boys, Spencer High School, B 
17,2014-03-01,279,9, Boys, Spencer High School, B 
18,2014-02-15,267,9, Boys, Spencer High School, B 
19,2014-02-01,276,9, Boys, Spencer High School, B 
20,2013-05-09,268,8, Boys, Spencer High School, B 
