,Date,Score,Grade,Gender,School,Format
0,2017-03-03,286,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
1,2017-02-25,282,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
2,2017-02-18,283,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
3,2017-02-11,284,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
4,2017-02-04,282,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
5,2017-01-21,288,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
6,2017-01-14,282,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
7,2016-12-17,286,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
8,2016-12-10,277,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
9,2016-03-04,286,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
10,2016-02-20,271,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
11,2016-02-13,287,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
12,2016-02-06,285,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
13,2016-01-23,288,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
14,2016-01-16,284,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
15,2016-01-09,279,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
16,2016-01-09,280,9, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
17,2016-01-01,269,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
18,2015-12-19,286,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
19,2015-12-05,281,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
20,2015-12-01,291,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
21,2015-11-16,272,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
22,2015-05-07,278,8, Boys, MOUNT VERNON MS / WASHINGTON ES, 3D 
23,2015-05-07,267,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
24,2015-04-18,260,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
25,2015-04-01,274,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
26,2015-03-07,283,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
27,2015-03-01,288,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
28,2015-02-21,283,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
29,2015-02-14,275,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
30,2015-02-07,283,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
31,2015-02-01,279,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
32,2015-01-24,274,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
33,2015-01-17,276,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
34,2015-01-01,274,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
35,2014-12-16,279,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
36,2014-11-01,276,8, Boys, MOUNT VERNON MS / WASHINGTON ES, B 
37,2014-07-11,283,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
38,2014-05-08,277,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
39,2014-05-08,275,7, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
40,2014-04-01,286,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
41,2014-03-29,280,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
42,2014-03-01,284,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
43,2014-03-01,284,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
44,2014-02-15,272,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
45,2014-02-08,278,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
46,2014-02-01,278,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
47,2014-01-25,281,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
48,2014-01-11,285,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
49,2014-01-04,280,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
50,2014-01-02,274,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
51,2014-01-01,268,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
52,2013-12-17,263,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
53,2013-11-18,258,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
54,2013-05-09,283,6, Boys, MOUNT VERNON HIGH SCHOOL, B 
55,2013-04-20,268,6, Boys, MOUNT VERNON HIGH SCHOOL, B 
