,Date,Score,Grade,Gender,School,Format
0,2017-05-11,285,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
1,2017-05-11,275,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
2,2017-05-10,285,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
3,2017-04-29,276,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
4,2017-04-29,271,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
5,2017-04-22,276,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
6,2017-04-22,273,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
7,2017-03-04,277,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
8,2017-03-03,294,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
9,2017-02-25,276,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
10,2017-02-18,282,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
11,2017-02-17,279,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
12,2017-02-11,292,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
13,2017-02-04,288,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
14,2017-01-28,267,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
15,2017-01-21,262,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
16,2017-01-21,270,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
17,2017-01-14,265,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
18,2017-01-07,265,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
19,2017-01-07,266,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
20,2016-12-17,276,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
21,2016-12-10,279,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
22,2016-12-03,272,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
23,2016-05-12,281,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
24,2016-05-12,274,9, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
25,2016-04-23,272,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
26,2016-04-16,283,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
27,2016-04-04,254,9, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
28,2016-04-01,281,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
29,2016-03-05,269,9, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
30,2016-03-04,280,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
31,2016-03-01,281,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
32,2016-02-20,277,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
33,2016-02-13,284,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
34,2016-02-06,286,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
35,2016-02-01,288,9, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
36,2016-02-01,282,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
37,2016-01-30,287,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
38,2016-01-23,280,9, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
39,2016-01-23,291,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
40,2016-01-16,276,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
41,2016-01-09,270,9, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
42,2016-01-09,287,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
43,2016-01-02,283,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
