,Date,Score,Grade,Gender,School,Format
0,2017-03-03,269,12, Boys, Spencer High School, B 
1,2017-02-11,267,12, Boys, Spencer High School, B 
2,2017-01-28,263,12, Boys, Spencer High School, B 
3,2017-01-21,268,12, Boys, Spencer High School, B 
4,2016-03-04,288,11, Boys, Spencer High School, B 
5,2016-02-13,273,11, Boys, Spencer High School, B 
6,2016-02-06,275,11, Boys, Spencer High School, B 
7,2016-01-30,279,11, Boys, Spencer High School, B 
8,2016-01-16,281,11, Boys, Spencer High School, B 
9,2015-05-07,261,10, Boys, Spencer High School, B 
10,2015-02-21,262,10, Boys, Spencer High School, B 
11,2015-02-14,277,10, Boys, Spencer High School, B 
12,2015-01-31,275,10, Boys, Spencer High School, B 
13,2014-05-08,275,9, Boys, Spencer High School, B 
14,2014-03-01,280,9, Boys, Spencer High School, B 
15,2014-02-08,282,9, Boys, Spencer High School, B 
16,2013-06-28,272,8, Boys, Spencer High School, B 
17,2013-05-09,279,8, Boys, Spencer High School, B 
