,Date,Score,Grade,Gender,School,Format
0,2017-03-03,272,12, Boys, Spencer High School, B 
1,2017-02-18,272,12, Boys, Spencer High School, B 
2,2017-02-11,281,12, Boys, Spencer High School, B 
3,2017-02-05,276,12, Boys, Spencer High School, B 
4,2017-01-28,277,12, Boys, Spencer High School, B 
5,2017-01-21,271,12, Boys, Spencer High School, B 
6,2016-05-12,286,11, Boys, Spencer High School, B 
7,2016-03-04,276,11, Boys, Spencer High School, B 
8,2016-02-20,282,11, Boys, Spencer High School, B 
9,2016-02-13,268,11, Boys, Spencer High School, B 
10,2016-02-06,276,11, Boys, Spencer High School, B 
11,2016-01-23,285,11, Boys, Spencer High School, B 
12,2016-01-16,280,11, Boys, Spencer High School, B 
13,2015-05-07,281,10, Boys, Spencer High School, B 
14,2015-03-07,282,10, Boys, Spencer High School, B 
15,2015-02-21,282,10, Boys, Spencer High School, B 
16,2015-02-14,280,10, Boys, Spencer High School, B 
17,2015-02-07,287,10, Boys, Spencer High School, B 
18,2015-01-31,274,10, Boys, Spencer High School, B 
19,2014-07-11,280,9, Boys, Spencer High School, B 
20,2014-05-08,284,9, Boys, Spencer High School, B 
21,2014-03-01,291,9, Boys, Spencer High School, B 
22,2014-02-15,285,9, Boys, Spencer High School, B 
23,2014-02-08,279,9, Boys, Spencer High School, B 
24,2014-02-01,270,9, Boys, Spencer High School, B 
25,2013-06-28,284,8, Boys, Spencer High School, B 
26,2013-05-09,286,8, Boys, Spencer High School, B 
27,2012-05-11,263,7, Boys, Spencer High School, B 
