,Date,Score,Grade,Gender,School,Format
0,2017-03-03,259,11, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
1,2017-02-18,271,11, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
2,2017-02-16,273,11, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
3,2017-02-12,259,11, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
4,2017-02-12,272,11, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
5,2017-02-11,265,11, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
6,2017-02-04,261,11, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
7,2017-01-28,280,11, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
8,2017-01-21,264,11, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
9,2017-01-14,256,11, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
10,2017-01-07,282,11, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
11,2016-12-09,270,11, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
12,2016-03-04,279,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
13,2016-02-19,284,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
14,2016-02-13,266,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
15,2016-02-05,274,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
16,2016-01-30,276,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
17,2016-01-24,275,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
18,2016-01-23,271,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
19,2016-01-16,268,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
20,2016-01-10,271,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
21,2016-01-09,261,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
22,2016-01-02,276,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
23,2015-12-19,273,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
24,2015-12-13,275,10, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
25,2015-03-07,284,9, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
26,2015-02-21,278,9, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
27,2015-02-14,284,9, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
28,2015-02-07,281,9, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
29,2015-01-24,276,9, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
30,2015-01-17,273,9, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
31,2015-01-10,275,9, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
32,2015-01-03,282,9, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
33,2014-12-27,285,9, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
34,2014-07-11,271,8, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
35,2014-05-08,268,8, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
36,2014-03-01,276,8, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
37,2014-02-15,277,8, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
38,2014-02-08,277,8, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
39,2014-02-01,262,8, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
40,2014-01-25,282,8, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
41,2014-01-18,278,8, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
42,2014-01-11,266,8, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
43,2014-01-04,269,8, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
44,2013-06-28,262,7, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
45,2012-05-11,272,6, Girls, CENTRAL CITY COMMUNITY SCHOOL, B 
