"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
394546,2015-12-31,"Dunn, NC","NC",296,149200,-0.00133868808567604,-0.00400534045393859,0.0177353342428377,0.00768055150400393,0.0109537113825744,"2015-09","2015-Q3",149800,-0.00400534045393859,"2015-07"
395237,2015-12-31,"Wooster, OH","OH",297,131000,0.00306278713629403,0.0123647604327666,0.0363924050632911,0.0210199783913934,0.00332757546076623,"2015-12","2015-Q4",131000,0,"2015-12"
394880,2015-12-31,"Morristown, TN","TN",298,112600,0.00535714285714286,0.0144144144144144,0.0349264705882353,0.0256154229821199,0.00786526768616436,"2007-06","2007-Q2",114800,-0.0191637630662021,"2007-03"
394734,2015-12-31,"Kankakee, IL","IL",299,116100,0.00259067357512953,0.0113240418118467,-0.0119148936170213,-0.0126644232682332,-0.0065942202250856,"2012-07","2012-Q3",141300,-0.178343949044586,"2004-11"
394423,2015-12-31,"Brunswick, GA","GA",300,164000,0.00799016594960049,0.0186335403726708,0.0711952971913782,0.0128765277526293,-0.0115088477520616,"2007-06","2007-Q2",207200,-0.208494208494208,"2005-04"
394932,2015-12-31,"Ogdensburg, NY","NY",301,73500,-0.00809716599190283,-0.0277777777777778,0.00961538461538462,0.0105991334703046,0.0149417181318185,"2015-08","2015-Q3",76200,-0.0354330708661417,"2015-03"
395054,2015-12-31,"San Angelo, TX","TX",302,125900,0.000794912559618442,0.00881410256410256,0.0219155844155844,0.0216746672323269,,"2013-06","2013-Q2",133100,-0.0540946656649136,"2013-04"
394857,2015-12-31,"Michigan City, IN","IN",303,116700,0.0077720207253886,0.0147826086956522,0.0318302387267905,-0.0329735479760536,0.00260770802478216,"2009-08","2009-Q3",186200,-0.373254564983888,"2008-03"
753890,2015-12-31,"Holland, MI","MI",304,143800,0.00348918353105373,0.00912280701754386,0.0155367231638418,0.0380037377380129,0.000487415222402143,"2006-03","2006-Q1",143900,-0.000694927032661571,"2006-03"
395218,2015-12-31,"Wenatchee, WA","WA",305,255300,0.00909090909090909,0.0319320937752627,0.112903225806452,0.0274005311914096,,"2015-12","2015-Q4",255300,0,"2015-12"
394778,2015-12-31,"Lawrence, KS","KS",306,165300,0.00181818181818182,0.00547445255474453,0.0197409006785935,-0.0115658302902966,-0.00355909141639921,"2010-02","2010-Q1",191700,-0.137715179968701,"2005-06"
394867,2015-12-31,"Missoula, MT","MT",307,240600,0.000831946755407654,0.0025,0.0321750321750322,-0.00272079225354005,0.0191644224341005,"2009-05","2009-Q2",269700,-0.10789766407119,"2008-10"
753915,2015-12-31,"Salem, OH","OH",308,77200,0.0104712041884817,0.0390309555854643,0.0575342465753425,0.0323429208428532,-0.00939189420088704,"2006-01","2006-Q1",84600,-0.0874704491725768,"2000-12"
394369,2015-12-31,"Bay City, MI","MI",309,82300,-0.00121359223300971,-0.00962695547533093,-0.00483675937122128,-0.0021994347925115,-0.0231907960206282,"2005-11","2005-Q4",103000,-0.200970873786408,"2000-09"
395039,2015-12-31,"Roseburg, OR","OR",310,153500,0.00458115183246073,0.0132013201320132,0.0696864111498258,0.0175305203743603,-0.0029427039646539,"2007-10","2007-Q4",170500,-0.0997067448680352,"2005-11"
395139,2015-12-31,"Sumter, SC","SC",311,84900,-0.00817757009345794,-0.028604118993135,0,0.0168787937288337,0.0131866520371648,"2015-04","2015-Q2",90900,-0.066006600660066,"2014-12"
395095,2015-12-31,"Show Low, AZ","AZ",312,167900,0.00901442307692308,0.031960663798402,0.0881399870382372,0.0267855062287008,-0.00877202604194716,"2007-02","2007-Q1",228900,-0.266491917868065,"2005-09"
394794,2015-12-31,"Lima, OH","OH",313,89700,0,0.00447928331466965,0.0418118466898955,0.00636994199702778,-0.00220516022382422,"2006-04","2006-Q2",92300,-0.028169014084507,"2005-01"
394495,2015-12-31,"Cookeville, TN","TN",314,115900,0.00607638888888889,0.0229479258605472,0.0526793823796549,0.0250541889954519,0.0224550576074141,"2015-12","2015-Q4",115900,0,"2015-12"
753872,2015-12-31,"California-Lexington Park, MD","MD",315,254500,0.00196850393700787,0.0067246835443038,-0.00663544106167057,-0.0109473819186731,-0.0216898604078546,"2007-05","2007-Q2",330500,-0.229954614220877,"2004-12"
394513,2015-12-31,"Cumberland, MD","MD",316,81500,-0.00488400488400488,-0.0192539109506619,-0.033214709371293,-0.0337861103147716,-0.00217952611560934,"2009-05","2009-Q2",107000,-0.238317757009346,"2005-11"
394804,2015-12-31,"Longview, WA","WA",317,181200,0.00722623679822123,0.026628895184136,0.0902527075812274,0.0197744482869946,0.00516586635162053,"2007-10","2007-Q4",200200,-0.0949050949050949,"2006-04"
395222,2015-12-31,"Whitewater, WI","WI",318,167000,-0.000598444045481747,-0.0017931858936043,-0.0413318025258324,0.0114830743141279,-0.00442497984490064,"2007-07","2007-Q3",184500,-0.0948509485094851,"2005-06"
