,Date,Score,Grade,Gender,School,Format
0,2017-03-04,279,11, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
1,2017-03-03,274,11, Boys, MOUNT VERNON HIGH SCHOOL, B 
2,2017-02-25,276,11, Boys, MOUNT VERNON HIGH SCHOOL, B 
3,2017-02-18,277,11, Boys, MOUNT VERNON HIGH SCHOOL, B 
4,2017-02-17,268,11, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
5,2017-02-11,278,11, Boys, MOUNT VERNON HIGH SCHOOL, B 
6,2017-02-04,278,11, Boys, MOUNT VERNON HIGH SCHOOL, B 
7,2017-01-28,276,11, Boys, MOUNT VERNON HIGH SCHOOL, B 
8,2017-01-21,282,11, Boys, MOUNT VERNON HIGH SCHOOL, B 
9,2017-01-21,276,11, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
10,2016-12-17,281,11, Boys, MOUNT VERNON HIGH SCHOOL, B 
11,2016-12-10,276,11, Boys, MOUNT VERNON HIGH SCHOOL, B 
12,2016-05-12,276,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
13,2016-05-12,262,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
14,2016-04-23,286,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
15,2016-04-04,284,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
16,2016-04-01,283,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
17,2016-03-05,277,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
18,2016-03-04,285,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
19,2016-03-01,281,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
20,2016-02-20,277,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
21,2016-02-06,278,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
22,2016-02-01,281,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
23,2016-02-01,276,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
24,2016-01-30,268,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
25,2016-01-23,271,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
26,2016-01-23,276,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
27,2016-01-16,276,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
28,2016-01-09,273,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
29,2016-01-09,273,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
30,2016-01-02,268,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
31,2016-01-01,264,10, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
32,2016-01-01,275,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
33,2015-12-19,275,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
34,2015-12-05,280,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
35,2015-12-01,271,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
36,2015-11-16,275,10, Boys, MOUNT VERNON HIGH SCHOOL, B 
37,2015-05-07,245,9, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
38,2015-05-07,265,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
39,2015-04-01,273,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
40,2015-03-07,284,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
41,2015-03-01,261,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
42,2015-02-21,268,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
43,2015-02-14,272,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
44,2015-02-07,253,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
45,2015-02-01,264,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
46,2015-01-24,253,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
47,2015-01-17,261,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
48,2015-01-10,272,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
49,2015-01-01,265,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
50,2014-12-16,252,9, Boys, MOUNT VERNON HIGH SCHOOL, B 
51,2014-07-11,268,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
52,2014-05-08,271,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
53,2014-05-08,264,8, Boys, MOUNT VERNON HIGH SCHOOL, 3D 
54,2014-04-01,275,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
55,2014-03-01,260,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
56,2014-03-01,272,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
57,2014-02-15,267,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
58,2014-02-08,283,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
59,2014-02-01,285,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
60,2014-01-25,280,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
61,2014-01-18,277,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
62,2014-01-04,271,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
63,2014-01-01,278,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
64,2013-12-17,270,8, Boys, MOUNT VERNON HIGH SCHOOL, B 
65,2013-05-09,275,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
66,2013-04-13,273,7, Boys, MOUNT VERNON HIGH SCHOOL, B 
67,2012-05-11,267,6, Boys, MOUNT VERNON HIGH SCHOOL, B 
68,2012-04-22,266,6, Boys, MOUNT VERNON HIGH SCHOOL, B 
