,Date,Score,Grade,Gender,School,Format
0,2017-03-04,282,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, 3D 
1,2017-03-03,282,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
2,2017-02-18,283,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
3,2017-02-18,278,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, 3D 
4,2017-02-11,283,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
5,2017-02-11,278,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, 3D 
6,2017-02-04,289,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
7,2017-01-28,280,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, 3D 
8,2017-01-28,277,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
9,2017-01-21,289,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
10,2017-01-21,284,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, 3D 
11,2017-01-21,293,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
12,2017-01-14,290,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
13,2017-01-07,288,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
14,2017-01-07,282,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, 3D 
15,2016-12-17,291,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
16,2016-12-10,292,12, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
17,2016-08-05,276,11, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, 3D 
18,2016-03-05,281,11, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, 3D 
19,2016-03-04,287,11, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
20,2016-02-20,284,11, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
21,2016-01-31,285,11, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
22,2016-01-30,280,11, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
23,2016-01-23,271,11, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, 3D 
24,2016-01-23,279,11, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
25,2016-01-16,277,11, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
26,2016-01-09,270,11, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
27,2015-12-19,286,11, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
28,2015-12-12,285,11, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
29,2015-07-18,271,10, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
30,2015-05-07,276,10, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
31,2015-03-07,288,10, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
32,2015-02-21,284,10, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
33,2015-02-14,275,10, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
34,2015-01-31,290,10, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
35,2015-01-24,282,10, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
36,2015-01-17,271,10, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
37,2015-01-10,283,10, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
38,2014-12-20,281,10, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
39,2014-12-13,281,10, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
40,2014-07-11,279,9, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
41,2014-05-08,280,9, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
42,2014-03-01,266,9, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
43,2014-02-08,275,9, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
44,2014-02-01,270,9, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
45,2014-01-25,263,9, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
46,2014-01-18,254,9, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
47,2014-01-04,246,9, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
48,2013-12-14,234,9, Boys, CARDINAL MIDDLE-SENIOR HIGH SCHOOL, B 
