,Date,Score,Grade,Gender,School,Format
0,2017-03-03,281,11, Girls, MOUNT VERNON HIGH SCHOOL, B 
1,2017-02-25,293,11, Girls, MOUNT VERNON HIGH SCHOOL, B 
2,2017-02-18,288,11, Girls, MOUNT VERNON HIGH SCHOOL, B 
3,2017-02-11,282,11, Girls, MOUNT VERNON HIGH SCHOOL, B 
4,2017-02-04,286,11, Girls, MOUNT VERNON HIGH SCHOOL, B 
5,2017-01-28,286,11, Girls, MOUNT VERNON HIGH SCHOOL, B 
6,2017-01-21,278,11, Girls, MOUNT VERNON HIGH SCHOOL, B 
7,2016-12-17,289,11, Girls, MOUNT VERNON HIGH SCHOOL, B 
8,2016-12-10,284,11, Girls, MOUNT VERNON HIGH SCHOOL, B 
9,2016-12-03,278,11, Girls, MOUNT VERNON HIGH SCHOOL, B 
10,2016-05-12,277,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
11,2016-04-23,282,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
12,2016-04-16,282,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
13,2016-04-01,287,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
14,2016-03-04,286,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
15,2016-03-01,283,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
16,2016-02-20,286,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
17,2016-02-13,287,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
18,2016-02-05,287,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
19,2016-02-01,284,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
20,2016-01-30,292,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
21,2016-01-16,286,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
22,2016-01-09,282,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
23,2016-01-01,287,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
24,2015-12-19,283,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
25,2015-12-05,280,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
26,2015-12-01,281,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
27,2015-11-16,277,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
28,2015-03-07,279,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
29,2015-02-21,277,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
30,2015-02-14,261,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
31,2015-02-07,271,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
32,2015-02-01,275,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
33,2015-01-24,279,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
34,2015-01-17,259,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
35,2015-01-10,264,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
36,2015-01-01,244,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
37,2014-12-16,256,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
38,2014-11-01,265,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
39,2014-07-11,265,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
40,2014-05-08,275,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
41,2014-05-08,260,8, Girls, MOUNT VERNON HIGH SCHOOL, 3D 
42,2014-04-01,263,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
43,2014-03-01,261,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
44,2014-03-01,272,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
45,2014-02-15,237,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
46,2014-02-08,268,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
47,2014-02-01,261,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
48,2014-01-25,254,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
49,2014-01-18,256,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
50,2014-01-04,259,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
51,2014-01-01,256,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
52,2013-12-17,251,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
53,2013-11-18,252,8, Girls, MOUNT VERNON HIGH SCHOOL, B 
54,2013-05-09,268,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
55,2012-05-11,248,6, Girls, MOUNT VERNON HIGH SCHOOL, B 
56,2012-04-22,247,6, Girls, MOUNT VERNON HIGH SCHOOL, B 
