,Date,Score,Grade,Gender,School,Format
0,2017-06-16,284,11, Girls, ANAMOSA HIGH SCHOOL, 3D 
1,2017-05-11,266,11, Girls, ANAMOSA HIGH SCHOOL, B 
2,2017-05-11,282,11, Girls, ANAMOSA HIGH SCHOOL, 3D 
3,2017-05-10,275,11, Girls, ANAMOSA HIGH SCHOOL, B 
4,2017-04-22,284,11, Girls, ANAMOSA HIGH SCHOOL, B 
5,2017-04-22,288,11, Girls, ANAMOSA HIGH SCHOOL, 3D 
6,2017-03-11,288,11, Girls, ANAMOSA HIGH SCHOOL, B 
7,2017-03-04,282,11, Girls, ANAMOSA HIGH SCHOOL, 3D 
8,2017-03-03,287,11, Girls, ANAMOSA HIGH SCHOOL, B 
9,2017-02-18,284,11, Girls, ANAMOSA HIGH SCHOOL, B 
10,2017-02-11,282,11, Girls, ANAMOSA HIGH SCHOOL, B 
11,2017-02-07,287,11, Girls, ANAMOSA HIGH SCHOOL, B 
12,2017-02-04,282,11, Girls, ANAMOSA HIGH SCHOOL, B 
13,2017-01-28,286,11, Girls, ANAMOSA HIGH SCHOOL, B 
14,2017-01-28,283,11, Girls, ANAMOSA HIGH SCHOOL, B 
15,2017-01-28,289,11, Girls, ANAMOSA HIGH SCHOOL, 3D 
16,2017-01-21,291,11, Girls, ANAMOSA HIGH SCHOOL, B 
17,2017-01-14,288,11, Girls, ANAMOSA HIGH SCHOOL, B 
18,2017-01-07,291,11, Girls, ANAMOSA HIGH SCHOOL, B 
19,2017-01-07,292,11, Girls, ANAMOSA HIGH SCHOOL, 3D 
20,2016-12-03,289,10, Girls, ANAMOSA HIGH SCHOOL, B 
21,2016-08-12,288,10, Girls, ANAMOSA HIGH SCHOOL, 3D 
22,2016-08-05,297,10, Girls, ANAMOSA HIGH SCHOOL, 3D 
23,2016-07-16,291,10, Girls, ANAMOSA HIGH SCHOOL, B 
24,2016-06-24,291,10, Girls, ANAMOSA HIGH SCHOOL, 3D 
25,2016-06-23,288,10, Girls, ANAMOSA HIGH SCHOOL, B 
26,2016-06-10,284,10, Girls, ANAMOSA HIGH SCHOOL, B 
27,2016-05-13,282,10, Girls, ANAMOSA HIGH SCHOOL, B 
28,2016-05-12,279,10, Girls, ANAMOSA HIGH SCHOOL, B 
29,2016-05-12,283,10, Girls, ANAMOSA HIGH SCHOOL, 3D 
30,2016-04-23,293,10, Girls, ANAMOSA HIGH SCHOOL, B 
31,2016-04-16,285,10, Girls, ANAMOSA HIGH SCHOOL, B 
32,2016-03-12,284,10, Girls, ANAMOSA HIGH SCHOOL, B 
33,2016-03-05,283,10, Girls, ANAMOSA HIGH SCHOOL, 3D 
34,2016-03-04,285,10, Girls, ANAMOSA HIGH SCHOOL, B 
35,2016-02-20,275,10, Girls, ANAMOSA HIGH SCHOOL, B 
36,2016-02-13,277,10, Girls, ANAMOSA HIGH SCHOOL, B 
37,2016-02-05,277,10, Girls, ANAMOSA HIGH SCHOOL, B 
38,2016-01-30,267,10, Girls, ANAMOSA HIGH SCHOOL, B 
39,2016-01-24,278,10, Girls, ANAMOSA HIGH SCHOOL, B 
40,2016-01-23,267,10, Girls, ANAMOSA HIGH SCHOOL, B 
41,2016-01-16,285,10, Girls, ANAMOSA HIGH SCHOOL, B 
42,2016-01-09,278,10, Girls, ANAMOSA HIGH SCHOOL, B 
43,2016-01-02,279,10, Girls, ANAMOSA HIGH SCHOOL, B 
44,2015-12-19,291,9, Girls, ANAMOSA HIGH SCHOOL, B 
45,2015-07-22,289,9, Girls, ANAMOSA HIGH SCHOOL, B 
46,2015-05-07,280,9, Girls, ANAMOSA HIGH SCHOOL, B 
47,2015-04-18,285,9, Girls, ANAMOSA HIGH SCHOOL, B 
48,2015-03-07,284,9, Girls, ANAMOSA HIGH SCHOOL, B 
49,2015-02-21,288,9, Girls, ANAMOSA HIGH SCHOOL, B 
50,2015-02-07,285,9, Girls, ANAMOSA HIGH SCHOOL, B 
51,2015-01-31,287,9, Girls, ANAMOSA HIGH SCHOOL, B 
52,2015-01-24,289,9, Girls, ANAMOSA HIGH SCHOOL, B 
53,2015-01-17,275,9, Girls, ANAMOSA HIGH SCHOOL, B 
54,2015-01-10,283,9, Girls, ANAMOSA HIGH SCHOOL, B 
55,2015-01-03,282,8, Girls, ANAMOSA HIGH SCHOOL, B 
56,2014-05-08,262,8, Girls, ANAMOSA HIGH SCHOOL, B 
57,2014-05-08,280,8, Girls, ANAMOSA HIGH SCHOOL, 3D 
58,2014-03-01,276,8, Girls, ANAMOSA HIGH SCHOOL, B 
59,2014-02-15,267,8, Girls, ANAMOSA HIGH SCHOOL, B 
60,2014-02-08,278,8, Girls, ANAMOSA HIGH SCHOOL, B 
61,2014-02-01,270,8, Girls, ANAMOSA HIGH SCHOOL, B 
62,2014-01-25,263,8, Girls, ANAMOSA HIGH SCHOOL, B 
63,2014-01-18,264,8, Girls, ANAMOSA HIGH SCHOOL, B 
64,2014-01-11,258,8, Girls, ANAMOSA HIGH SCHOOL, B 
65,2014-01-04,237,6, Girls, ANAMOSA HIGH SCHOOL, B 
