,Date,Score,Grade,Gender,School,Format
0,2017-03-03,277,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
1,2017-02-18,281,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
2,2017-02-11,280,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
3,2017-02-04,287,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
4,2017-01-28,282,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
5,2017-01-21,267,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
6,2017-01-14,269,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
7,2017-01-07,282,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
8,2016-12-17,279,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
9,2016-12-10,280,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
10,2016-12-03,271,10, Girls, MOUNT VERNON HIGH SCHOOL, B 
11,2016-05-12,281,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
12,2016-04-23,265,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
13,2016-04-16,278,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
14,2016-04-01,281,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
15,2016-03-04,272,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
16,2016-03-01,273,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
17,2016-02-20,280,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
18,2016-02-13,277,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
19,2016-02-06,270,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
20,2016-02-01,274,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
21,2016-01-23,274,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
22,2016-01-16,258,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
23,2016-01-09,262,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
24,2016-01-01,270,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
25,2015-12-19,254,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
26,2015-12-01,253,9, Girls, MOUNT VERNON HIGH SCHOOL, B 
27,2015-05-07,269,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
28,2015-04-01,282,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
29,2015-03-07,272,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
30,2015-03-01,263,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
31,2015-02-21,283,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
32,2015-02-14,279,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
33,2015-02-07,275,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
34,2015-02-01,287,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
35,2015-01-24,266,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
36,2015-01-17,279,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
37,2015-01-10,276,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
38,2015-01-01,275,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
39,2014-12-16,280,8, Girls, MOUNT VERNON MS / WASHINGTON ES, B 
40,2014-07-11,252,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
41,2014-05-08,257,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
42,2014-04-01,202,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
43,2014-03-29,273,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
44,2014-03-01,270,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
45,2014-03-01,279,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
46,2014-02-15,264,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
47,2014-02-08,276,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
48,2014-02-01,263,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
49,2014-01-25,257,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
50,2014-01-18,202,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
51,2014-01-11,256,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
52,2014-01-04,262,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
53,2014-01-01,244,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
54,2013-12-17,242,7, Girls, MOUNT VERNON HIGH SCHOOL, B 
55,2013-05-09,251,6, Girls, MOUNT VERNON HIGH SCHOOL, B 
