,Date,Score,Grade,Gender,School,Format
0,2017-03-03,275,9, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
1,2017-02-25,290,9, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
2,2017-02-18,273,9, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
3,2017-02-11,286,9, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
4,2017-01-28,289,9, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
5,2017-01-21,224,9, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
6,2017-01-14,256,9, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
7,2017-01-07,271,9, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
8,2016-12-29,269,9, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
9,2016-12-10,280,9, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
10,2016-05-12,282,8, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
11,2016-05-12,259,8, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
12,2016-03-04,284,8, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
13,2016-02-19,282,8, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
14,2016-02-06,280,8, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
15,2016-01-30,284,8, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
16,2016-01-23,283,8, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
17,2016-01-16,283,8, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
18,2016-01-09,290,8, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
19,2015-12-19,277,8, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
20,2015-12-12,279,8, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
21,2015-05-07,266,7, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
22,2015-03-07,277,7, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
23,2015-02-21,280,7, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
24,2015-01-31,264,7, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
25,2015-01-24,259,7, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
26,2015-01-17,246,7, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
27,2014-12-13,257,7, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
28,2014-03-01,268,6, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
29,2014-02-08,263,6, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
30,2014-01-25,226,6, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
31,2014-01-04,241,6, Girls, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
