,Date,Score,Grade,Gender,School,Format
0,2017-03-04,273,8, Boys, Anamosa Middle School, 3D 
1,2017-03-03,265,8, Boys, Anamosa Middle School, B 
2,2017-02-18,269,8, Boys, Anamosa Middle School, B 
3,2017-02-11,261,8, Boys, Anamosa Middle School, B 
4,2017-02-07,273,8, Boys, ANAMOSA HIGH SCHOOL, B 
5,2017-02-04,272,8, Boys, Anamosa Middle School, B 
6,2017-01-28,274,8, Boys, Anamosa Middle School, B 
7,2017-01-28,270,8, Boys, Anamosa Middle School, 3D 
8,2017-01-28,280,8, Boys, Anamosa Middle School, B 
9,2017-01-14,263,8, Boys, Anamosa Middle School, B 
10,2017-01-07,281,8, Boys, Anamosa Middle School, B 
11,2017-01-07,271,8, Boys, Anamosa Middle School, 3D 
12,2016-08-05,259,7, Boys, ANAMOSA HIGH SCHOOL, 3D 
13,2016-06-24,274,7, Boys, ANAMOSA HIGH SCHOOL, 3D 
14,2016-06-23,277,7, Boys, ANAMOSA HIGH SCHOOL, B 
15,2016-06-10,269,7, Boys, ANAMOSA HIGH SCHOOL, B 
16,2016-05-12,258,7, Boys, ANAMOSA HIGH SCHOOL, B 
17,2016-05-12,272,7, Boys, ANAMOSA HIGH SCHOOL, 3D 
18,2016-04-16,279,7, Boys, ANAMOSA HIGH SCHOOL, B 
19,2016-03-05,266,7, Boys, Anamosa Middle School, 3D 
20,2016-03-04,259,7, Boys, ANAMOSA HIGH SCHOOL, B 
21,2016-02-20,282,7, Boys, Anamosa Middle School, B 
22,2016-02-13,282,7, Boys, Anamosa Middle School, B 
23,2016-02-05,278,7, Boys, Anamosa Middle School, B 
24,2016-01-30,271,7, Boys, ANAMOSA HIGH SCHOOL, B 
25,2016-01-23,272,7, Boys, Anamosa Middle School, B 
26,2016-01-16,281,7, Boys, ANAMOSA HIGH SCHOOL, B 
27,2016-01-09,286,7, Boys, Anamosa Middle School, B 
28,2016-01-02,287,7, Boys, Anamosa Middle School, B 
29,2015-12-19,276,7, Boys, Anamosa Middle School, B 
30,2015-05-07,268,6, Boys, ANAMOSA HIGH SCHOOL, B 
31,2015-04-18,279,6, Boys, ANAMOSA HIGH SCHOOL, B 
32,2015-03-07,277,6, Boys, ANAMOSA HIGH SCHOOL, B 
33,2015-02-21,278,6, Boys, ANAMOSA HIGH SCHOOL, B 
34,2015-02-14,266,6, Boys, ANAMOSA HIGH SCHOOL, B 
35,2015-02-07,241,6, Boys, ANAMOSA HIGH SCHOOL, B 
36,2015-01-24,247,6, Boys, ANAMOSA HIGH SCHOOL, B 
37,2015-01-17,252,6, Boys, ANAMOSA HIGH SCHOOL, B 
38,2014-03-01,248,5, Boys, ANAMOSA HIGH SCHOOL, B 
39,2014-02-15,247,5, Boys, ANAMOSA HIGH SCHOOL, B 
40,2014-02-08,266,5, Boys, ANAMOSA HIGH SCHOOL, B 
41,2014-01-25,245,5, Boys, ANAMOSA HIGH SCHOOL, B 
42,2014-01-18,247,5, Boys, ANAMOSA HIGH SCHOOL, B 
43,2012-05-11,251,4, Boys, ANAMOSA HIGH SCHOOL, B 
