,Date,Score,Grade,Gender,School,Format
0,2017-07-21,280,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
1,2017-07-21,297,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
2,2017-05-11,290,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
3,2017-05-11,292,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
4,2017-05-10,292,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
5,2017-03-04,286,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
6,2017-03-03,290,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
7,2017-02-25,294,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
8,2017-02-18,281,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
9,2017-02-18,292,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
10,2017-02-18,287,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
11,2017-02-16,293,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
12,2017-02-11,288,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
13,2017-02-04,292,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
14,2017-02-04,290,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
15,2017-01-31,290,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
16,2017-01-28,296,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
17,2017-01-21,294,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
18,2017-01-21,292,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
19,2017-01-21,291,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
20,2017-01-14,293,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
21,2017-01-14,285,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
22,2017-01-07,274,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
23,2017-01-07,295,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
24,2016-12-29,291,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
25,2016-12-17,290,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
26,2016-12-17,286,9, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
27,2016-12-10,262,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
28,2016-08-12,287,9, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
29,2016-08-05,279,9, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
30,2016-07-16,292,9, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
31,2016-06-24,290,9, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
