,Date,Score,Grade,Gender,School,Format
0,2017-03-03,276,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
1,2017-02-18,276,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
2,2017-02-11,273,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
3,2017-02-11,278,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
4,2017-02-04,279,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
5,2017-01-28,272,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
6,2017-01-07,277,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
7,2016-12-29,269,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
8,2016-12-10,272,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
9,2016-03-05,277,11, Girls, DIAGONAL COMMUNITY SCHOOL, 3D 
10,2016-03-04,273,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
11,2016-02-20,264,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
12,2016-02-18,257,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
13,2016-02-13,252,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
14,2016-02-06,265,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
15,2016-01-23,272,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
16,2016-01-21,267,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
17,2016-01-16,243,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
18,2016-01-09,271,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
19,2015-12-29,271,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
20,2015-12-12,269,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
21,2015-05-07,268,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
22,2015-03-07,269,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
23,2015-02-21,275,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
24,2015-02-14,271,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
25,2015-02-07,270,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
26,2015-01-31,276,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
27,2015-01-24,272,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
28,2015-01-10,273,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
29,2014-12-20,273,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
30,2014-03-01,274,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
31,2014-02-15,277,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
32,2014-02-13,280,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
33,2014-02-08,278,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
34,2014-02-01,263,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
35,2014-01-25,275,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
36,2014-01-18,262,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
37,2013-12-28,273,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
38,2013-05-09,269,8, Girls, DIAGONAL COMMUNITY SCHOOL, B 
39,2012-05-11,263,7, Girls, DIAGONAL COMMUNITY SCHOOL, B 
