,Date,Score,Grade,Gender,School,Format
0,2017-03-04,263,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, 3D 
1,2017-03-03,263,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
2,2017-02-18,264,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
3,2017-02-12,237,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
4,2017-02-12,272,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
5,2017-02-11,276,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
6,2017-02-04,272,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
7,2017-01-28,269,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, 3D 
8,2017-01-28,275,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
9,2017-01-21,269,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
10,2017-01-14,282,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
11,2017-01-07,279,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
12,2016-12-09,286,8, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
13,2016-03-05,276,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, 3D 
14,2016-03-04,270,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
15,2016-02-19,272,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
16,2016-02-13,287,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
17,2016-02-05,278,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
18,2016-01-30,277,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
19,2016-01-24,277,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
20,2016-01-23,279,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
21,2016-01-16,273,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
22,2016-01-10,270,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
23,2016-01-09,274,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
24,2016-01-02,269,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
25,2015-12-19,277,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
26,2015-12-13,278,7, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
27,2015-07-23,262,6, Boys, CENTRAL CITY COMMUNITY SCHOOL, 3D 
28,2015-07-22,269,6, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
29,2015-05-07,265,6, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
30,2015-05-07,264,6, Boys, CENTRAL CITY COMMUNITY SCHOOL, 3D 
31,2015-03-07,274,6, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
32,2015-02-21,268,6, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
33,2015-02-14,268,6, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
34,2015-02-07,277,6, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
35,2015-01-17,264,6, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
36,2015-01-10,272,6, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
37,2015-01-03,250,6, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
38,2014-12-27,265,6, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
39,2014-07-11,267,5, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
40,2014-05-08,269,5, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
41,2014-03-01,269,5, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
42,2014-02-15,237,5, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
43,2014-02-08,263,5, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
44,2014-02-01,249,5, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
45,2014-01-25,260,5, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
46,2014-01-18,253,5, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
47,2014-01-11,245,5, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
48,2014-01-04,248,5, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
49,2013-06-28,249,4, Boys, CENTRAL CITY COMMUNITY SCHOOL, B 
