,Date,Score,Grade,Gender,School,Format
0,2017-03-03,242,10, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
1,2017-02-18,265,10, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
2,2017-02-11,271,10, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
3,2017-02-04,264,10, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
4,2017-01-21,263,10, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
5,2017-01-15,261,10, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
6,2017-01-14,252,10, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
7,2017-01-07,261,10, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
8,2016-12-09,263,10, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
9,2016-03-04,260,9, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
10,2016-02-20,276,9, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
11,2016-02-16,287,9, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
12,2016-02-13,278,9, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
13,2016-02-06,276,9, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
14,2016-01-30,269,9, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
15,2016-01-16,254,9, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
16,2016-01-09,273,9, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
17,2016-01-02,275,9, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
18,2015-12-12,270,9, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
19,2015-05-07,273,8, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
20,2015-04-18,278,8, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
21,2015-03-07,283,8, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
22,2015-02-21,274,8, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
23,2015-02-14,280,8, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
24,2015-02-07,280,8, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
25,2015-01-31,274,8, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
26,2015-01-17,281,8, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
27,2015-01-10,275,8, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
28,2014-05-08,274,7, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
29,2014-03-01,283,7, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
30,2014-02-15,279,7, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
31,2014-02-08,274,7, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
32,2014-01-25,264,7, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
33,2014-01-11,251,7, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
34,2014-01-04,263,7, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
35,2013-05-09,269,6, Girls, WAPSIE VALLEY HIGH SCHOOL, B 
