,Date,Score,Grade,Gender,School,Format
0,2017-03-03,278,9, Boys, ALBURNETT COMM SCHOOL, B 
1,2017-02-18,288,9, Boys, ALBURNETT COMM SCHOOL, B 
2,2017-02-17,281,9, Boys, ALBURNETT COMM SCHOOL, 3D 
3,2017-02-11,270,9, Boys, ALBURNETT COMM SCHOOL, B 
4,2017-02-04,286,9, Boys, ALBURNETT COMM SCHOOL, B 
5,2017-02-04,285,9, Boys, ALBURNETT COMM SCHOOL, B 
6,2017-01-28,286,9, Boys, ALBURNETT COMM SCHOOL, B 
7,2017-01-14,286,9, Boys, ALBURNETT COMM SCHOOL, B 
8,2017-01-07,284,9, Boys, ALBURNETT COMM SCHOOL, B 
9,2017-01-07,283,9, Boys, ALBURNETT COMM SCHOOL, B 
10,2016-12-09,277,9, Boys, ALBURNETT COMM SCHOOL, B 
11,2016-05-12,265,8, Boys, ALBURNETT COMM SCHOOL, B 
12,2016-05-12,280,8, Boys, ALBURNETT COMM SCHOOL, 3D 
13,2016-04-16,254,8, Boys, ALBURNETT COMM SCHOOL, B 
14,2016-03-05,278,8, Boys, ALBURNETT COMM SCHOOL, 3D 
15,2016-03-04,287,8, Boys, ALBURNETT COMM SCHOOL, B 
16,2016-02-19,273,8, Boys, ALBURNETT COMM SCHOOL, B 
17,2016-02-05,285,8, Boys, ALBURNETT COMM SCHOOL, B 
18,2016-01-30,273,8, Boys, ALBURNETT COMM SCHOOL, B 
19,2016-01-23,272,8, Boys, ALBURNETT COMM SCHOOL, B 
20,2016-01-16,274,8, Boys, ALBURNETT COMM SCHOOL, B 
21,2016-01-09,280,8, Boys, ALBURNETT COMM SCHOOL, B 
22,2016-01-02,268,8, Boys, ALBURNETT COMM SCHOOL, B 
23,2015-12-19,273,8, Boys, ALBURNETT COMM SCHOOL, B 
24,2015-12-13,265,8, Boys, ALBURNETT COMM SCHOOL, B 
25,2015-05-07,264,7, Boys, ALBURNETT COMM SCHOOL, B 
26,2015-05-07,256,7, Boys, ALBURNETT COMM SCHOOL, 3D 
27,2015-04-18,285,7, Boys, ALBURNETT COMM SCHOOL, B 
28,2015-03-07,268,7, Boys, ALBURNETT COMM SCHOOL, B 
29,2015-02-21,277,7, Boys, ALBURNETT COMM SCHOOL, B 
30,2015-02-14,284,7, Boys, ALBURNETT COMM SCHOOL, B 
31,2015-02-07,271,7, Boys, ALBURNETT COMM SCHOOL, B 
32,2015-01-31,275,7, Boys, ALBURNETT COMM SCHOOL, B 
33,2015-01-17,279,7, Boys, ALBURNETT COMM SCHOOL, B 
34,2015-01-10,257,7, Boys, ALBURNETT COMM SCHOOL, B 
35,2015-01-03,274,7, Boys, ALBURNETT COMM SCHOOL, B 
36,2014-12-27,270,7, Boys, ALBURNETT COMM SCHOOL, B 
37,2014-12-16,265,7, Boys, ALBURNETT COMM SCHOOL, B 
38,2014-05-08,272,6, Boys, ALBURNETT COMM SCHOOL, B 
39,2014-03-01,267,6, Boys, ALBURNETT COMM SCHOOL, B 
40,2014-02-15,273,6, Boys, ALBURNETT COMM SCHOOL, B 
41,2014-02-08,271,6, Boys, ALBURNETT COMM SCHOOL, B 
42,2014-02-01,262,6, Boys, ALBURNETT COMM SCHOOL, B 
43,2014-01-25,263,6, Boys, ALBURNETT COMM SCHOOL, B 
44,2014-01-18,257,6, Boys, ALBURNETT COMM SCHOOL, B 
45,2014-01-11,271,6, Boys, ALBURNETT COMM SCHOOL, B 
46,2014-01-04,273,6, Boys, ALBURNETT COMM SCHOOL, B 
47,2014-01-04,272,6, Boys, ALBURNETT COMM SCHOOL, B 
48,2013-05-09,261,5, Boys, ALBURNETT COMM SCHOOL, B 
49,2012-05-11,256,4, Boys, ALBURNETT COMM SCHOOL, B 
50,2012-04-15,249,4, Boys, ALBURNETT COMM SCHOOL, B 
51,2012-04-08,250,4, Boys, ALBURNETT COMM SCHOOL, B 
52,2012-03-25,237,4, Boys, ALBURNETT COMM SCHOOL, B 
53,2012-03-18,243,4, Boys, ALBURNETT COMM SCHOOL, B 
54,2012-03-11,253,4, Boys, ALBURNETT COMM SCHOOL, B 
55,2012-02-26,245,4, Boys, ALBURNETT COMM SCHOOL, B 
