,Date,Score,Grade,Gender,School,Format
0,2017-03-03,273,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
1,2017-02-18,282,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
2,2017-02-11,270,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
3,2017-02-11,283,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
4,2017-02-04,271,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
5,2017-01-07,266,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
6,2016-12-29,263,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
7,2016-12-10,267,12, Girls, DIAGONAL COMMUNITY SCHOOL, B 
8,2016-03-04,262,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
9,2016-02-20,275,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
10,2016-02-18,269,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
11,2016-02-13,270,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
12,2016-02-06,276,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
13,2016-01-23,283,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
14,2016-01-21,282,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
15,2016-01-16,283,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
16,2016-01-09,278,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
17,2015-12-29,258,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
18,2015-12-12,269,11, Girls, DIAGONAL COMMUNITY SCHOOL, B 
19,2015-05-07,269,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
20,2015-03-07,277,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
21,2015-02-21,263,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
22,2015-02-19,280,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
23,2015-02-14,265,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
24,2015-02-07,272,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
25,2015-01-31,277,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
26,2015-01-24,274,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
27,2015-01-10,270,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
28,2014-12-20,273,10, Girls, DIAGONAL COMMUNITY SCHOOL, B 
29,2014-03-01,267,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
30,2014-02-15,254,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
31,2014-02-13,278,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
32,2014-02-08,269,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
33,2014-02-01,270,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
34,2014-01-25,268,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
35,2014-01-18,262,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
36,2013-12-28,275,9, Girls, DIAGONAL COMMUNITY SCHOOL, B 
37,2013-05-09,277,8, Girls, DIAGONAL COMMUNITY SCHOOL, B 
38,2012-05-11,265,7, Girls, DIAGONAL COMMUNITY SCHOOL, B 
