,Date,Score,Grade,Gender,School,Format
0,2017-03-03,267,10, Boys, Center Point-Urbana High School, B 
1,2017-02-18,271,10, Boys, Center Point-Urbana High School, B 
2,2017-02-12,271,10, Boys, Center Point-Urbana High School, B 
3,2017-02-04,271,10, Boys, Center Point-Urbana High School, B 
4,2017-01-21,267,10, Boys, Center Point-Urbana High School, B 
5,2017-01-14,273,10, Boys, Center Point-Urbana High School, B 
6,2017-01-07,262,10, Boys, Center Point-Urbana High School, B 
7,2016-12-17,271,10, Boys, Center Point-Urbana High School, B 
8,2016-12-09,274,10, Boys, Center Point-Urbana High School, B 
9,2016-05-12,276,9, Boys, Center Point-Urbana High School, B 
10,2016-05-12,277,9, Boys, Center Point-Urbana High School, 3D 
11,2016-04-23,277,9, Boys, Center Point-Urbana High School, B 
12,2016-04-16,283,9, Boys, Center Point-Urbana High School, B 
13,2016-03-04,281,9, Boys, Center Point-Urbana High School, B 
14,2016-02-19,289,9, Boys, Center Point-Urbana High School, B 
15,2016-02-13,274,9, Boys, Center Point-Urbana High School, B 
16,2016-01-30,286,9, Boys, Center Point-Urbana High School, B 
17,2016-01-16,287,9, Boys, Center Point-Urbana High School, B 
18,2016-01-09,271,9, Boys, Center Point-Urbana High School, B 
19,2016-01-02,275,9, Boys, Center Point-Urbana High School, B 
20,2015-12-19,275,9, Boys, Center Point-Urbana High School, B 
21,2015-12-13,270,9, Boys, Center Point-Urbana High School, B 
22,2015-12-12,269,9, Boys, Center Point-Urbana High School, B 
23,2015-05-07,268,8, Boys, Center Point-Urbana High School, B 
24,2015-05-07,267,8, Boys, Center Point-Urbana High School, 3D 
25,2015-04-18,269,8, Boys, Center Point-Urbana High School, B 
26,2015-03-07,268,8, Boys, Center Point-Urbana High School, B 
27,2015-02-21,269,8, Boys, Center Point-Urbana High School, B 
28,2015-02-14,270,8, Boys, Center Point-Urbana High School, B 
29,2015-01-24,276,8, Boys, Center Point-Urbana High School, B 
30,2015-01-17,270,8, Boys, Center Point-Urbana High School, B 
31,2015-01-10,272,8, Boys, Center Point-Urbana High School, B 
32,2015-01-03,263,8, Boys, Center Point-Urbana High School, B 
33,2014-12-27,272,8, Boys, Center Point-Urbana High School, B 
34,2014-05-08,273,7, Boys, Center Point-Urbana High School, B 
35,2014-05-08,259,7, Boys, Center Point-Urbana High School, 3D 
36,2014-03-01,254,7, Boys, Center Point-Urbana High School, B 
37,2014-02-15,263,7, Boys, Center Point-Urbana High School, B 
38,2014-02-08,262,7, Boys, Center Point-Urbana High School, B 
39,2014-02-01,255,7, Boys, Center Point-Urbana High School, B 
40,2014-01-11,253,7, Boys, Center Point-Urbana High School, B 
41,2014-01-04,251,7, Boys, Center Point-Urbana High School, B 
42,2014-01-04,253,7, Boys, Center Point-Urbana High School, B 
